,game_id,role,round_num,rule_idx,hits,misses,correct_rejections,false_alarms,score
0,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,0,8,3,7,21,19,0
1,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,0,8,7,3,18,22,0
2,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,0,1,25,0,25,0,25
3,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,0,46,7,17,26,0,7
4,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,0,1,25,0,25,0,25
5,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,0,46,15,9,26,0,15
6,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,1,28,18,22,5,5,13
7,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,0,30,5,5,26,14,0
8,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,1,28,19,21,4,6,13
9,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,0,30,4,6,33,7,0
10,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,0,33,33,5,7,5,28
11,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,1,16,8,0,40,2,6
12,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,1,16,8,0,40,2,6
13,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,0,33,21,17,12,0,21
14,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,explorer,0,34,23,4,23,0,23
15,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,2,48,6,0,40,4,2
16,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,2,48,6,0,41,3,3
17,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,student,0,34,23,4,23,0,23
18,9125-79b4dcf2-defd-4628-afa6-2e31dc5999bc,explorer,0,12,2,8,33,7,0
19,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,3,18,15,0,22,13,2
20,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,3,18,12,3,35,0,12
21,9125-79b4dcf2-defd-4628-afa6-2e31dc5999bc,student,0,12,2,8,36,4,0
22,2438-ec0ee85f-c872-456b-99d4-1723e0dd5058,explorer,0,49,10,2,34,4,6
23,2438-ec0ee85f-c872-456b-99d4-1723e0dd5058,student,0,49,12,0,32,6,6
24,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,1,31,18,4,28,0,18
25,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,1,31,12,10,28,0,12
26,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,2,26,29,9,12,0,29
27,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,explorer,4,38,13,6,31,0,13
28,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,explorer,1,14,9,0,41,0,9
29,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,2,26,29,9,12,0,29
30,5514-bb081ca4-4593-474b-84e4-cc79851c10b1,student,4,38,12,7,31,0,12
31,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,1,0,21,1,28,0,21
32,6974-547e2a24-2c44-49a4-a0d3-025bef405760,explorer,0,5,16,0,34,0,16
33,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,1,0,21,1,28,0,21
34,6974-547e2a24-2c44-49a4-a0d3-025bef405760,student,0,5,0,16,22,12,0
35,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,student,1,14,9,0,31,10,0
36,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,1,23,20,7,22,1,19
37,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,3,6,24,3,23,0,24
38,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,3,6,13,14,23,0,13
39,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,1,23,18,9,21,2,16
40,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,2,10,6,0,44,0,6
41,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,explorer,2,4,23,0,27,0,23
42,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,student,2,4,23,0,27,0,23
43,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,2,10,6,0,44,0,6
44,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,2,3,27,0,23,0,27
45,1907-3fe920b9-b2fb-40c8-9086-21ba0379ef26,explorer,0,6,26,1,23,0,26
46,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,2,3,27,0,23,0,27
47,1907-3fe920b9-b2fb-40c8-9086-21ba0379ef26,student,0,6,27,0,23,0,27
48,7265-de683552-bac6-45cb-8884-c2904b92ca54,explorer,4,36,10,19,15,6,4
49,7265-de683552-bac6-45cb-8884-c2904b92ca54,student,4,36,9,20,15,6,3
50,6974-547e2a24-2c44-49a4-a0d3-025bef405760,student,1,25,4,12,13,21,0
51,6974-547e2a24-2c44-49a4-a0d3-025bef405760,explorer,1,25,14,2,10,24,0
52,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,2,21,10,15,24,1,9
53,1907-3fe920b9-b2fb-40c8-9086-21ba0379ef26,explorer,1,36,26,3,21,0,26
54,1907-3fe920b9-b2fb-40c8-9086-21ba0379ef26,student,1,36,26,3,21,0,26
55,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,2,21,17,8,17,8,9
56,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,3,40,5,1,44,0,5
57,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,3,43,0,12,38,0,0
58,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,3,43,0,12,38,0,0
59,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,3,40,6,0,43,1,5
60,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,3,41,7,1,41,1,6
61,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,explorer,3,24,18,0,19,13,5
62,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,3,41,8,0,41,1,7
63,3599-50b880e8-61c2-4fe6-ad9a-feedae558c8c,student,3,24,17,1,19,13,4
64,7111-bc378748-4c72-449d-924b-df4dce9057b1,explorer,4,13,34,0,16,0,34
65,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,explorer,4,11,7,0,43,0,7
66,4672-91dbae67-e729-4075-9fb6-cda256cc58fc,student,4,11,7,0,43,0,7
67,7111-bc378748-4c72-449d-924b-df4dce9057b1,student,4,13,34,0,16,0,34
68,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,explorer,4,20,46,1,3,0,46
69,0196-07e1f9a5-341c-4d9c-b863-b2c450ad6313,student,4,20,46,1,3,0,46
70,1907-3fe920b9-b2fb-40c8-9086-21ba0379ef26,explorer,2,26,29,9,12,0,29
71,1907-3fe920b9-b2fb-40c8-9086-21ba0379ef26,student,2,26,29,9,12,0,29
