,game_id,role,round_num,rule_idx,hits,misses,correct_rejections,false_alarms,score
0,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,student,0,17,9,0,40,1,8
1,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,0,17,9,0,41,0,9
2,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,1,7,9,0,41,0,9
3,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,student,1,7,9,0,41,0,9
4,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,explorer,0,9,7,2,41,0,7
5,7392-e732a6ac-3067-43e0-954e-2bc8b71ced0b,student,0,9,3,6,37,4,0
6,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,2,47,7,1,32,10,0
7,7666-ecad590e-149b-429a-ba68-737f7033f894,explorer,0,0,22,0,28,0,22
8,7666-ecad590e-149b-429a-ba68-737f7033f894,student,0,0,22,0,28,0,22
9,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,student,2,47,5,3,35,7,0
10,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,0,38,16,3,31,0,16
11,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,0,38,16,3,31,0,16
12,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,3,27,34,1,15,0,34
13,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,student,3,27,12,23,15,0,12
14,7666-ecad590e-149b-429a-ba68-737f7033f894,explorer,1,40,4,2,43,1,3
15,7666-ecad590e-149b-429a-ba68-737f7033f894,student,1,40,5,1,43,1,4
16,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,1,18,14,1,35,0,14
17,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,1,18,15,0,35,0,15
18,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,explorer,4,37,25,0,25,0,25
19,5311-efd76cfb-4151-4432-9ad8-9e6c5abedd35,student,4,37,22,3,25,0,22
20,7666-ecad590e-149b-429a-ba68-737f7033f894,student,2,20,46,1,3,0,46
21,7666-ecad590e-149b-429a-ba68-737f7033f894,explorer,2,20,46,1,3,0,46
22,7666-ecad590e-149b-429a-ba68-737f7033f894,student,3,30,6,4,40,0,6
23,7666-ecad590e-149b-429a-ba68-737f7033f894,explorer,3,30,8,2,40,0,8
24,7666-ecad590e-149b-429a-ba68-737f7033f894,explorer,4,10,6,0,44,0,6
25,7666-ecad590e-149b-429a-ba68-737f7033f894,student,4,10,2,4,38,6,0
26,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,2,8,10,0,40,0,10
27,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,2,8,10,0,40,0,10
28,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,3,48,6,0,44,0,6
29,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,3,48,6,0,44,0,6
30,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,student,0,11,7,0,20,23,0
31,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,explorer,0,11,1,6,38,5,0
32,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,explorer,4,28,32,8,10,0,32
33,2756-c0a7f538-27bf-42c4-9563-aacaa9ab49a2,student,4,28,9,31,7,3,6
34,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,explorer,1,41,7,1,42,0,7
35,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,student,1,41,0,8,35,7,0
36,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,explorer,2,21,21,4,3,22,0
37,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,student,2,21,14,11,25,0,14
38,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,explorer,3,1,25,0,25,0,25
39,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,student,3,1,24,1,23,2,22
40,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,explorer,4,31,11,11,22,6,5
41,5613-9ffe5f69-de84-484f-8680-5c106d0b18a4,student,4,31,17,5,10,18,0
