,game_id,role,round_num,rule_idx,hits,misses,correct_rejections,false_alarms,score
0,0505-a6be075e-30fa-48a2-8e63-db770d77e7b0,student,0,40,3,3,30,14,0
1,0505-a6be075e-30fa-48a2-8e63-db770d77e7b0,explorer,0,40,2,4,27,17,0
2,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,student,0,32,10,1,39,0,10
3,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,explorer,0,32,6,5,39,0,6
4,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,explorer,1,2,17,7,26,0,17
5,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,student,1,2,24,0,26,0,24
6,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,student,2,22,16,5,17,12,4
7,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,explorer,2,22,13,8,19,10,3
8,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,explorer,3,42,22,1,13,14,8
9,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,student,3,42,23,0,13,14,9
10,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,student,4,12,5,5,40,0,5
11,0370-36ff4474-c3ec-40e2-9527-c75b95ee3916,explorer,4,12,10,0,40,0,10
